ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-03-18,22754.08119223122,21409.09959474515,22793.265779228543,22754.08119223122,22754.08119223122,-667.6514156840047,-667.6514156840047,-667.6514156840047,128.1921199559144,128.1921199559144,128.1921199559144,-795.8435356399191,-795.8435356399191,-795.8435356399191,0.0,0.0,0.0,22086.429776547215
2024-03-19,22758.026280828857,21362.96878474609,22810.32494758898,22758.026280828857,22758.026280828857,-665.9328192718687,-665.9328192718687,-665.9328192718687,131.19089596880997,131.19089596880997,131.19089596880997,-797.1237152406786,-797.1237152406786,-797.1237152406786,0.0,0.0,0.0,22092.09346155699
2024-03-20,22761.97136942649,21419.989239179045,22803.677337546756,22761.97136942649,22761.97136942649,-666.152085084828,-666.152085084828,-666.152085084828,130.40851066564218,130.40851066564218,130.40851066564218,-796.5605957504702,-796.5605957504702,-796.5605957504702,0.0,0.0,0.0,22095.819284341662
2024-03-21,22765.916458024127,21389.76054867167,22863.39814093636,22765.916458024127,22765.916458024127,-662.0711895286651,-662.0711895286651,-662.0711895286651,132.16746761292734,132.16746761292734,132.16746761292734,-794.2386571415923,-794.2386571415923,-794.2386571415923,0.0,0.0,0.0,22103.84526849546
2024-03-22,22769.86154662176,21378.317455978005,22826.104620941474,22769.86154662176,22769.86154662176,-670.7492654116442,-670.7492654116442,-670.7492654116442,119.50192119356312,119.50192119356312,119.50192119356312,-790.2511866052073,-790.2511866052073,-790.2511866052073,0.0,0.0,0.0,22099.112281210117
2024-03-26,22785.641901012295,21444.721561898812,22898.993443854695,22785.641901012295,22785.641901012295,-628.5249357532523,-628.5249357532523,-628.5249357532523,131.19089596920116,131.19089596920116,131.19089596920116,-759.7158317224535,-759.7158317224535,-759.7158317224535,0.0,0.0,0.0,22157.116965259043
2024-03-27,22789.58698960993,21470.562608148055,22839.042643736608,22789.58698960993,22789.58698960993,-618.5739344443792,-618.5739344443792,-618.5739344443792,130.408510665823,130.408510665823,130.408510665823,-748.9824451102023,-748.9824451102023,-748.9824451102023,0.0,0.0,0.0,22171.01305516555
2024-03-28,22793.53207820756,21466.362615917104,22921.449876658276,22793.53207820756,22793.53207820756,-605.0656399512717,-605.0656399512717,-605.0656399512717,132.16746761259276,132.16746761259276,132.16746761259276,-737.2331075638645,-737.2331075638645,-737.2331075638645,0.0,0.0,0.0,22188.46643825629
2024-04-01,22809.312432598097,21545.535262726615,22933.63294845511,22809.312432598097,22809.312432598097,-554.1227534752339,-554.1227534752339,-554.1227534752339,128.19211995590715,128.19211995590715,128.19211995590715,-682.314873431141,-682.314873431141,-682.314873431141,0.0,0.0,0.0,22255.189679122865
2024-04-02,22813.25752119573,21536.25533128999,22996.205028071076,22813.25752119573,22813.25752119573,-535.969772021164,-535.969772021164,-535.969772021164,131.19089596891607,131.19089596891607,131.19089596891607,-667.16066799008,-667.16066799008,-667.16066799008,0.0,0.0,0.0,22277.287749174568
2024-04-03,22817.202609793363,21590.00215187344,23032.782098771826,22817.202609793363,22817.202609793363,-521.24939676661,-521.24939676661,-521.24939676661,130.40851066514443,130.40851066514443,130.40851066514443,-651.6579074317543,-651.6579074317543,-651.6579074317543,0.0,0.0,0.0,22295.953213026754
2024-04-04,22821.147698391,21560.613009854194,23065.521621631127,22821.147698391,22821.147698391,-503.7500257851509,-503.7500257851509,-503.7500257851509,132.1674676128833,132.1674676128833,132.1674676128833,-635.9174933980343,-635.9174933980343,-635.9174933980343,0.0,0.0,0.0,22317.39767260585
2024-04-05,22825.092786988633,21615.68508686209,23081.94207234238,22825.092786988633,22825.092786988633,-500.54898276377827,-500.54898276377827,-500.54898276377827,119.50192119466034,119.50192119466034,119.50192119466034,-620.0509039584387,-620.0509039584387,-620.0509039584387,0.0,0.0,0.0,22324.543804224853
2024-04-08,22836.92805278153,21684.51102917928,23072.769363282892,22836.92805278153,22836.92805278153,-444.62804987603494,-444.62804987603494,-444.62804987603494,128.19211995687016,128.19211995687016,128.19211995687016,-572.8201698329051,-572.8201698329051,-572.8201698329051,0.0,0.0,0.0,22392.300002905497
2024-04-09,22840.87314137917,21640.084550942935,23121.91725927827,22840.87314137917,22840.87314137917,-426.38723847868965,-426.38723847868965,-426.38723847868965,131.1908959686514,131.1908959686514,131.1908959686514,-557.578134447341,-557.578134447341,-557.578134447341,0.0,0.0,0.0,22414.48590290048
2024-04-10,22844.8182299768,21679.845368343165,23145.984040500352,22844.8182299768,22844.8182299768,-412.367948689904,-412.367948689904,-412.367948689904,130.4085106658627,130.4085106658627,130.4085106658627,-542.7764593557667,-542.7764593557667,-542.7764593557667,0.0,0.0,0.0,22432.450281286896
