ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-05-22,24450.46928921376,23527.73929766534,24997.846955405807,24450.46928921376,24450.46928921376,-203.88717836483772,-203.88717836483772,-203.88717836483772,132.16746761267095,132.16746761267095,132.16746761267095,-336.05464597750864,-336.05464597750864,-336.05464597750864,0.0,0.0,0.0,24246.58211084892
2025-05-23,24454.414377811394,23512.164099335117,24970.89518223149,24454.414377811394,24454.414377811394,-196.45527034633207,-196.45527034633207,-196.45527034633207,119.50192119343066,119.50192119343066,119.50192119343066,-315.95719153976273,-315.95719153976273,-315.95719153976273,0.0,0.0,0.0,24257.959107465063
2025-05-26,24466.249643604297,23644.826423988245,25042.733181742264,24466.249643604297,24466.249643604297,-125.78150936736016,-125.78150936736016,-125.78150936736016,128.19211995558706,128.19211995558706,128.19211995558706,-253.97362932294723,-253.97362932294723,-253.97362932294723,0.0,0.0,0.0,24340.468134236937
2025-05-27,24470.19473220193,23686.49053021785,25119.28233282975,24470.19473220193,24470.19473220193,-102.33979571430922,-102.33979571430922,-102.33979571430922,131.1908959692072,131.1908959692072,131.1908959692072,-233.5306916835164,-233.5306916835164,-233.5306916835164,0.0,0.0,0.0,24367.85493648762
2025-05-28,24474.139820799563,23703.871037803336,25088.059497450824,24474.139820799563,24474.139820799563,-83.16652203326872,-83.16652203326872,-83.16652203326872,130.40851066578622,130.40851066578622,130.40851066578622,-213.57503269905496,-213.57503269905496,-213.57503269905496,0.0,0.0,0.0,24390.973298766294
2025-05-29,24478.084909397196,23675.178797906556,25133.94190149414,24478.084909397196,24478.084909397196,-62.1475390531202,-62.1475390531202,-62.1475390531202,132.16746761296153,132.16746761296153,132.16746761296153,-194.31500666608173,-194.31500666608173,-194.31500666608173,0.0,0.0,0.0,24415.937370344076
2025-05-30,24482.02999799483,23696.71518347156,25111.234750935808,24482.02999799483,24482.02999799483,-56.437943469733895,-56.437943469733895,-56.437943469733895,119.50192119485735,119.50192119485735,119.50192119485735,-175.93986466459125,-175.93986466459125,-175.93986466459125,0.0,0.0,0.0,24425.592054525096
2025-06-02,24493.865263787735,23818.8722236537,25199.98941428482,24493.865263787735,24493.865263787735,0.5479744726666957,0.5479744726666957,0.5479744726666957,128.19211995655004,128.19211995655004,128.19211995655004,-127.64414548388335,-127.64414548388335,-127.64414548388335,0.0,0.0,0.0,24494.4132382604
2025-06-03,24497.810352385364,23807.28297347873,25207.784878162263,24497.810352385364,24497.810352385364,17.008812306020253,17.008812306020253,17.008812306020253,131.19089596828667,131.19089596828667,131.19089596828667,-114.18208366226642,-114.18208366226642,-114.18208366226642,0.0,0.0,0.0,24514.819164691384
2025-06-04,24501.755440982997,23795.779454210562,25242.4556441598,24501.755440982997,24501.755440982997,28.271758229796745,28.271758229796745,28.271758229796745,130.4085106656451,130.4085106656451,130.4085106656451,-102.13675243584835,-102.13675243584835,-102.13675243584835,0.0,0.0,0.0,24530.027199212793
